,rating,rating_title,rating_description,rating_pros,rating_cons
129,5.0,Google is the Best Platform ever for advertising and publishing,"I have been working online ( computer operator ) for more than 10 years, and I never tired. Google gives us chance to make extra money. I have taken many benefits from google. I am used to working on blogging, Keyword planner, analytics and AdWords every day.",,
130,5.0,great place to work,I love my coworkers and management. A typical day of work is receiving tickets and getting them completed in a timely fashion with a sense of urgency. Food is wonderful and free perks are wonderful also.,,
131,4.0,Fun place to work very family oriented,working at google made me feel like i was working for someone in my family if i needed help assisting a customer my team lead was always there to help me out,,
132,5.0,Great role.,"My role was a field position, working around Europe and the UK. Technically I was employed through an agency and contracted to Google. When Google decided to pull the plug on the agency due to their poor results, it meant that we were all made redundant, hence the low score I have given for 'Job Security'. .  The job itself was brilliant and one I would have loved to have continued doing. Google treated us very well to be fair, it was a shame to have ended prematurely.",Daily food allowance.,Lacking job security as it was agemcy contracted work.
133,5.0,Management trusts you to get it done,Very little overhead from management and a mutual trust between TVCs. and Googlers..  Very easy to communicate with staff. Clear and understandable goals,,
134,5.0,Google is all about the culture,Google is an excellent company to work for. They practice what they preach and really value the employees and the Culture. This place is all about work life balance and having a long term approach to success.,,
135,5.0,Good company,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, search engine, cloud computing, software, and hardware.",,
136,4.0,If you are contract ...,prepare to be treated like a red headed step child only used to increase numbers and then tossed out like used tp. You get no benefits as a contract worker. It is too expensive to literally park there versus what you actually get paid for at the end of the day. The culture is hive mind.,,
137,5.0,good,"selling google products, hitting targets, approaching customers, dealing with complaints and questions. Reporting sales and finding solutions for customers.",,
138,5.0,confidential,"great working environment, enjoyed working in a cheerful place of business. Looking to returning after I complete the necessary education requirements.",,
139,4.0,Dynamic co workers,Professional team and goals clearly explained.  Women sometimes treated differently.  Difficult to transition from contractor to full time due to some brutal competition for the very few conversion spots compared to the vast  number of contract recruiters hired at once (60 started the day I began).  No vacation days or paid sick days nor paid holidays for contracted employees.  No benefits.  Only paid for 40 hours per week.,Great company to have on your resume. Google bus transportation. Free food at all times.,Low conversion rate of contractors to full time employees. No security.
140,3.0,"I'm a powerful, masculine, mgtow type of guy, and even I broke down crying on the datacenter floor","Former Employee - Operations Engineer in Atlanta, GA	.  Positive Outlook.  No opinion of CEO.  I worked at Google (Less than a year).  Pros.  The people are very nice and smart. the dress is casual. the cubicles are quiet. The food is good. A fun place to work.. The security staff is nice, and some will become good friends..  Cons.  The datacenter never has enough tools.. You feel completely alone and it seems that you shouldn't ask questions once you're let loose post-trainig.. I broke down crying a few times on the datacenter floor because I couldn't find any answers or documentation from their intranet or from other employees.. They want a phd level of intelligence to work for 20$/hr.. Atlanta is the neglected ""redheaded stepchild"" data center.. Can be somewhat political, but if you don't get involved with or discuss politics anywhere on memegen or on the internal mailing lists or if you're smart enough to be engage in a neutral manner or pretend to side with the ""correct"" politics rather than your own political beliefs, you'll be alright.. I sweat a lot, and no one told me that I could bring spill-proof tumblers or clear drink containers on the DC floor!.  The training was excellent. But safety protocols conflict with the speed that repairs MUST be accomplished. Eg: you must take shortcuts, like not wear globes when doing battery swaps, even if it's not safe. I was probably fired for not wearing gloves during the week that safety inspectors were onsite, however I was never told that they even have gloves or where they were! If you show people unsafe shortcuts, at - more...",,
141,5.0,"Incredible, Inspirational Place to work","Great place to work, incredible employees, great management team, great offices.  However, it is a relatively flat company and can be difficult to quickly move up.",,
142,5.0,Productive Place,"Google has a lot of benefits, from free food to massages to employee development. The environment allows you to live on campus as needed. You also get to work with bright colleagues.",Free food,Long commute if you live in between SF and Mountain View
143,5.0,I need this work very much. If I get this work I will help my family,"I want to be a member of google.I am a very responsible boy. And I think if I work in Google , Google will get may benifits from me. Google is a very big company. I like this company",,
144,2.0,"Google is a huge ""MEMEMEME"" culture","Worst People Operations department.  Competitive, everyone would rather text to each other than talk.  Meetings are rehearsed before a meeting and everyone is about ""levels"".  Never ever again",,
145,2.0,work  and dont be at the bottom 10% of performance,"worked about 12 to 15 hours a day even on Sunday at the time. the expectation working there was very high and no matter how hard you worked,  you were never secure about your job",,
146,5.0,"Absolutely Incredible Company! Great benefits, even better people.","I loved my time at Google. I can't think of a company that strives more to take care of their employees while prioritizing diversity and inclusion and doing the right thing.. I eventually left for a more fulfilling role at a smaller company. While the company is incredible, career progression can be difficult due to the high caliber talent you are competing against for promotions.",,
147,5.0,Everyone is very cooperative and work together well in all aspects of the job and support.,Its a very great company to work for. Very friendly people and very knowledgeable in all areas and phases of the company and products that were delivered.,,
148,2.0,Mismanaged Expectations,Reputation driven workplace culture and poor management styles bring a seemingly very great place to work to a place of disappointment in possible growth.,,
149,5.0,Inspiring place to work,"Google does do some really great and inspiring work. It's easy to feel small in a big pond but keep working hard and if you choose to work there, remember you got the job for a reason.",,
150,4.0,Fun place to work and good benefits,"Fun place to work and good benefits. People are motivated. intelligent and often help when needed. A typical job at work involves simulation, meetings and lab work.",,
