job_title,salary,company,location,job_summary,post_date,extract_date,job_url
"Tax Senior Associate, Insurance",,Dixon Hughes Goodman,"Charlotte, NC","Manage client work flow through proactive communication with client personnel, appropriate delegation to staff, and proper planning with senior managers and…",13 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=d4e4f2aedc2fb422&fccid=8f2022a14c83ea0a&vjs=3
Sr. Director Internal Audit,,Honeywell,"Charlotte, NC","Own and oversee the development of the Corporate Audit Risk Assessment program.
Deliver specialized finance and business audits, business assessments, and…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=430c246d13422583&fccid=50208b5bf45ee3b8&vjs=3
Senior Assurance Associate,,"GreerWalker, LLP","Charlotte, NC","Minimum of three years of experience as a staff accountant.
Technical knowledge sufficient to supervise staff accountant as well as review their work.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=2f08287981010dc9&fccid=3c9696c129c591c6&vjs=3
Core Assurance Senior Associate Charlotte Financial Services,,PwC,"Charlotte, NC",International hires or hires from a PwC affiliate firm to have obtained the equivalent accounting credential in selected individual's home country.,Today,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dr_hnQ-Jfvx8x1kl6LZGw5tBy_C31iSfGQgc5_4VANfqJsY2O7nCkw-GvebBoYC67NyEua8P3-XCJeAWAcFoIyW8quaLJmmHYalNqOaA9j0rnC_AvZgeiWuAmqzdXJdbrvKMJFeW2hXU5USN_RJTKCxzD2jftka4h4KlQV2bICDNc1zjZSTNw6MoXzbGNa5eHhVT39w2ty9Y54ZaqnCJeQy6UenopM03qJTvnpkU-I8JCMvwsQtjSVKjF73laBRxC08zpETyWetpuilW-QumU3FHE2eLgEaf07I_AVix2WEW8iXUO-hsN5rE_owIPqXLrWetQSIFJqh2DVkpa7ztVT_khG9S3dGZSvdy73gRScANpTKfUre3tCjGH4i116YUGcnNx6zhrcng==&p=3&fvj=0&vjs=3
"Senior Analyst, International Income Tax",,XPO Logistics,"Charlotte, NC","Assist with tax planning strategies; assist with modeling the impact of tax reform.
3 or more years of professional experience in a publicly-traded corporate…",29 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=1ab72326e59f6de6&fccid=518acc75d1476dc2&vjs=3
Audit Senior - Charlotte,,Cherry Bekaert LLP,"Charlotte, NC","Dialogue over engagement efficiencies and client specific risks.
You will develop audit approach to be used by the engagement teams.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=8082967abaf4516a&fccid=3ff4bafda5d00b97&vjs=3
Senior Tax Associate- High Net Worth,,Red Ventures,"Charlotte, NC","Solid knowledge in high-net-worth person compliance and consulting matters, including tax planning and tax return compliance.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=280f3e3ba4683114&fccid=c39dcf34372f1519&vjs=3
Senior Associate - Sales and Use Tax,,RSM US LLP,"Charlotte, NC","Provide excellent client service to multi-state companies with state and local tax issues including compliance, advisory services, planning, technology, and…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=03248f9ca58dbd81&fccid=198b7374e1f8a26f&vjs=3
Senior Tax Associate,,"GreerWalker, LLP","Charlotte, NC","Participate in client meetings and serve as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=771e8edfdedc4c86&fccid=3c9696c129c591c6&vjs=3
Senior Financial Auditor,,Data Bridge Consultants,"Charlotte, NC",We are a world-class organization which leverages technology to effectively and efficiently deliver the appropriate financial knowledge in the optimal format at…,30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=93039dd7029b52f7&fccid=eb7bcec5d5284bf2&vjs=3
Senior Associate (Audit & Tax),,Rödl & Partner,"Charlotte, NC","We recognize that talented people are attracted to companies that provide competitive pay, comprehensive benefits packages and outstanding advancement…",22 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=1ef01a27d366788d&fccid=9302447067d895a1&vjs=3
Assurance Services Senior - Financial Services - Financial Accounting Advisory Services,,Ernst & Young,"Charlotte, NC","Knowledge of current market issues in financial services in the US.
Upon embarking on a journey with us, you will experience professional development through…",8 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=92972d5086a4a877&fccid=1544766d4c2915b0&vjs=3
Sr Internal Auditor,,Honeywell,"Charlotte, NC","Some experience planning and executing audits in global environments.
You will partner with Business Leadership, Controllership, Finance Operations and External…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=9900648edced71d1&fccid=50208b5bf45ee3b8&vjs=3
Assurance Senior Associate- Real Estate,,CohnReznick,"Charlotte, NC","Serving as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and final deliverable.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=af7eb047d18c1431&fccid=f0bade0760e83581&vjs=3
